2025-04-05T22:52:23.097+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-05T22:47:00.175444+00:00 [queued]>
2025-04-05T22:52:23.391+0000 [WARNING] Line 259 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 260 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 261 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 262 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 263 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 264 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 265 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 266 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 267 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 268 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 269 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.392+0000 [WARNING] Line 270 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 271 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 272 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 273 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 274 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 275 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 276 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 277 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 278 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.393+0000 [WARNING] Line 279 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.394+0000 [WARNING] Line 280 has 18 fields - attempting smart truncation
