2025-04-03T21:38:17.287+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Starting attempt 1 of 4
2025-04-03T21:38:17.310+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:37:15.310530+00:00
2025-04-03T21:38:17.317+0000 [INFO] Started process 1483 to run task
2025-04-03T21:38:17.323+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:37:15.310530+00:00', '--job-id', '480', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzd76z89w']
2025-04-03T21:38:17.326+0000 [INFO] Job 480: Subtask processing.extract
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 132: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 133: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 134: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 135: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 136: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 137: Found 18 fields (expected 14)
2025-04-03T21:38:18.375+0000 [WARNING] Skipping malformed line 138: Found 18 fields (expected 14)
2025-04-03T21:38:18.376+0000 [WARNING] Skipping malformed line 139: Found 18 fields (expected 14)
2025-04-03T21:38:18.376+0000 [WARNING] Skipping malformed line 140: Found 18 fields (expected 14)
2025-04-03T21:38:18.376+0000 [WARNING] Skipping malformed line 141: Found 18 fields (expected 14)
2025-04-03T21:38:18.376+0000 [WARNING] Skipping malformed line 142: Found 18 fields (expected 14)
2025-04-03T21:38:18.376+0000 [WARNING] Skipping malformed line 143: Found 18 fields (expected 14)
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 144: Found 18 fields (expected 14)
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 145: Found 18 fields (expected 14)
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 146: Found 18 fields (expected 14)
