2025-04-03T22:15:08.391+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.400+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.402+0000 [INFO] Starting attempt 2 of 4
2025-04-03T22:15:08.413+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:53:45.219886+00:00
2025-04-03T22:15:08.418+0000 [INFO] Started process 1564 to run task
2025-04-03T22:15:08.428+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:53:45.219886+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpjdcp82zt']
2025-04-03T22:15:08.471+0000 [INFO] Job 505: Subtask processing.extract
2025-04-03T22:15:08.579+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [running]> on host 8d34dc648251
2025-04-03T22:15:11.166+0000 [WARNING] Line 235 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 236 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 237 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 238 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 239 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 240 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 241 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 242 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 243 has 18 fields - truncating to 14
2025-04-03T22:15:11.167+0000 [WARNING] Line 244 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 245 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 246 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 247 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 248 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 249 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 250 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 251 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 252 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 253 has 18 fields - truncating to 14
2025-04-03T22:15:11.168+0000 [WARNING] Line 254 has 18 fields - truncating to 14
